Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1636119000,0,"2021-11-05 13:30:00",16411.9668,16411.9668,16402.48828,16411.9668
1636119060,0,"2021-11-05 13:31:00",16411.25195,16423.875,16411.25195,16422,37467190
1636119120,0,"2021-11-05 13:32:00",16423.39648,16425.77344,16423.39648,16425.29297,5731554
1636119180,0,"2021-11-05 13:33:00",16429.16016,16432.37891,16422.66602,16423.08398,5361080
1636119240,0,"2021-11-05 13:34:00",16421.38867,16426.16602,16418.3125,16418.3125,5081066
1636119300,0,"2021-11-05 13:35:00",16422.82617,16444.07617,16422.82617,16440.08594,4621797
1636119360,0,"2021-11-05 13:36:00",16439.9043,16442.4668,16435.31641,16435.31641,5173953
1636119420,0,"2021-11-05 13:37:00",16435.15039,16443.28711,16435.15039,16441.53125,5240393
1636119480,0,"2021-11-05 13:38:00",16446.20703,16454.33984,16446.20703,16451.33594,4715175
1636119540,0,"2021-11-05 13:39:00",16452.05273,16452.26367,16447.23828,16448.44336,4764990
1636119600,0,"2021-11-05 13:40:00",16448.73242,16451.39453,16432.11719,16435.41211,5172318
1636119660,0,"2021-11-05 13:41:00",16436.80859,16439.8418,16432.42383,16434.11133,4906287
1636119720,0,"2021-11-05 13:42:00",16435.20312,16435.20312,16419.58203,16419.58203,4596331
1636119780,0,"2021-11-05 13:43:00",16418.74609,16423.47266,16418.74609,16419.19727,5152840
1636119840,0,"2021-11-05 13:44:00",16417.20703,16427.53906,16417.20703,16425.17773,4136747
1636119900,0,"2021-11-05 13:45:00",16425.81836,16434.49023,16425.16602,16434.49023,6049464
1636119960,0,"2021-11-05 13:46:00",16433.9707,16433.9707,16423.09766,16423.85156,1810229
1636120020,0,"2021-11-05 13:47:00",16428.06445,16429.83203,16422.39453,16423.40039,5386638
1636120080,0,"2021-11-05 13:48:00",16423.13477,16425.42383,16411.08398,16412.65234,1820629
1636120140,0,"2021-11-05 13:49:00",16405.16016,16405.16016,16399.52734,16402.26562,5453442
1636120200,0,"2021-11-05 13:50:00",16402.55078,16403.73047,16388.49219,16388.49219,1999432
1636120260,0,"2021-11-05 13:51:00",16383.89844,16395.71875,16383.89844,16395.14258,7085049
1636120320,0,"2021-11-05 13:52:00",16393.18555,16404.34375,16393.18555,16400.63672,3643490
1636120380,0,"2021-11-05 13:53:00",16403.49023,16403.49023,16392.30664,16392.30664,9007483
1636120440,0,"2021-11-05 13:54:00",16390.4375,16394.00391,16386.42773,16387.01758,3104910
1636120500,0,"2021-11-05 13:55:00",16388.86719,16397.04883,16388.86719,16392.99609,3371321
1636120560,0,"2021-11-05 13:56:00",16389.4668,16392.83984,16385.43359,16391.9668,3780106
1636120620,0,"2021-11-05 13:57:00",16397.08984,16397.08984,16391.04883,16393.18945,3792886
1636120680,0,"2021-11-05 13:58:00",16394.44531,16399.73047,16390.74219,16399.73047,2721548
1636120740,0,"2021-11-05 13:59:00",16398.00586,16413.39258,16398.00586,16413.39258,2480483
1636120800,0,"2021-11-05 14:00:00",16421.45898,16429.13477,16421.24219,16426.30859,3703025
1636120860,0,"2021-11-05 14:01:00",16424.2207,16425.88672,16422.53906,16425.88672,2835680
1636120920,0,"2021-11-05 14:02:00",16428.45117,16435.55664,16428.45117,16435.55664,2872847
1636120980,0,"2021-11-05 14:03:00",16433.7168,16440.99023,16433.7168,16439.68945,3157288
1636121040,0,"2021-11-05 14:04:00",16439.66602,16443.58594,16439.66602,16442.80859,3043651
1636121100,0,"2021-11-05 14:05:00",16442.73633,16442.73633,16436.63672,16439.85547,2530077
1636121160,0,"2021-11-05 14:06:00",16438.87109,16441.99414,16435.28711,16435.83789,2383782
1636121220,0,"2021-11-05 14:07:00",16433.85156,16435.76562,16428.58789,16428.58789,2600341
1636121280,0,"2021-11-05 14:08:00",16425.30859,16426.44141,16423.52344,16425.78125,2455800
1636121340,0,"2021-11-05 14:09:00",16423.18945,16423.18945,16410.14453,16412.47266,2199698
1636121400,0,"2021-11-05 14:10:00",16414.5957,16418.42188,16410.20117,16418.42188,2377197
1636121460,0,"2021-11-05 14:11:00",16419.16211,16428.75,16417.9668,16426.85938,2208409
1636121520,0,"2021-11-05 14:12:00",16424.57617,16435.38281,16424.57617,16431.69922,1574653
1636121580,0,"2021-11-05 14:13:00",16432.93359,16435.61719,16430.55859,16433.45508,1985026
1636121640,0,"2021-11-05 14:14:00",16433.00781,16436.76562,16429.07422,16436.31445,2232534
1636121700,0,"2021-11-05 14:15:00",16437.6543,16448.22461,16437.6543,16448.22461,2510142
1636121760,0,"2021-11-05 14:16:00",16446.79883,16448.48828,16440.71094,16440.71094,2456249
1636121820,0,"2021-11-05 14:17:00",16443.23828,16449.66602,16443.23828,16449.33398,2538937
1636121880,0,"2021-11-05 14:18:00",16448.87891,16453.07227,16442.90625,16446.13867,2123819
1636121940,0,"2021-11-05 14:19:00",16447.48047,16447.48047,16440.51562,16440.84961,2827246
1636122000,0,"2021-11-05 14:20:00",16441,16441,16434.25195,16434.25195,3261975
1636122060,0,"2021-11-05 14:21:00",16435.43164,16436.91406,16434.10352,16435.06055,2118334
1636122120,0,"2021-11-05 14:22:00",16433.95898,16441.88477,16433.4668,16438.59766,2260101
1636122180,0,"2021-11-05 14:23:00",16443.2793,16444.0332,16441.91602,16443.20898,2080184
1636122240,0,"2021-11-05 14:24:00",16442.25977,16442.25977,16437.63672,16438.41406,1770362
1636122300,0,"2021-11-05 14:25:00",16439.32617,16441.25391,16435.875,16435.875,1705479
1636122360,0,"2021-11-05 14:26:00",16435.78906,16438.09766,16433.30078,16435.49023,1626282
1636122420,0,"2021-11-05 14:27:00",16435.64062,16436.14062,16430.07617,16430.07617,1933184
1636122480,0,"2021-11-05 14:28:00",16431.02148,16431.02148,16421.39062,16424.49609,2761841
1636122540,0,"2021-11-05 14:29:00",16422.08203,16431.73633,16422.08203,16427.9043,2495740
1636122600,0,"2021-11-05 14:30:00",16427.75391,16435.59766,16427.75391,16433.64258,2647380
1636122660,0,"2021-11-05 14:31:00",16434.95703,16436.38281,16429.38086,16429.38086,1085753
1636122720,0,"2021-11-05 14:32:00",16431.83398,16439.58594,16431.83398,16437.23047,1894300
1636122780,0,"2021-11-05 14:33:00",16435.51758,16437.89453,16434.33203,16434.33203,2092722
1636122840,0,"2021-11-05 14:34:00",16434.18555,16437.07031,16434.11523,16434.60547,1794501
1636122900,0,"2021-11-05 14:35:00",16433.91797,16434.61133,16429.67773,16429.67773,2359809
1636122960,0,"2021-11-05 14:36:00",16432.05078,16440.27734,16432.05078,16439.61133,1883787
1636123020,0,"2021-11-05 14:37:00",16439.89844,16441.94336,16437.5,16440.85156,1682802
1636123080,0,"2021-11-05 14:38:00",16439.41797,16440.66406,16438.33203,16438.98828,1869599
1636123140,0,"2021-11-05 14:39:00",16439.27344,16444.46289,16439.27344,16444.46289,1516069
1636123200,0,"2021-11-05 14:40:00",16444.64062,16447.08594,16443.86328,16444.5918,1794572
1636123260,0,"2021-11-05 14:41:00",16443.48633,16443.48633,16434.12695,16435.08398,1883976
1636123320,0,"2021-11-05 14:42:00",16436.58398,16444.12109,16436.58398,16444.05469,1611798
1636123380,0,"2021-11-05 14:43:00",16442.49219,16445.99414,16442.39648,16444.50391,1800922
1636123440,0,"2021-11-05 14:44:00",16444.06445,16444.06445,16434.88672,16434.88672,2077504
1636123500,0,"2021-11-05 14:45:00",16436.35742,16443.08984,16436.35742,16442.32422,2428301
1636123560,0,"2021-11-05 14:46:00",16442.77344,16443.28711,16439.30273,16439.87695,1807053
1636123620,0,"2021-11-05 14:47:00",16439.94531,16440.25781,16430.94531,16430.94531,1893666
1636123680,0,"2021-11-05 14:48:00",16430.79688,16436.80469,16430.79688,16435.88672,1864212
1636123740,0,"2021-11-05 14:49:00",16435.51172,16439.44336,16431.61719,16431.61719,1994599
